Feature,Importance
Bit_967,0.10768556188377097
Bit_389,0.09699335093756713
Bit_263,0.08902788579440418
Bit_128,0.08739403541178654
Bit_835,0.06294248220091486
Bit_350,0.059876125787428125
Bit_726,0.0514494251142346
Bit_698,0.050097388302140444
Bit_675,0.04889349526131165
Bit_452,0.048151229124270646
Bit_116,0.027356343297390874
Bit_893,0.025446614828201528
Bit_802,0.02388481562123578
Bit_715,0.02240576621594562
Bit_90,0.021364859180859588
Bit_361,0.021055274046545995
Bit_36,0.016422881885932824
Bit_288,0.014463622615516265
Bit_319,0.013635473770353653
Bit_23,0.01106171607031881
